CIF_Name,Neigh_Order,sym,is_new_sym,is_new_struc,Energy
Al1Au1_MgIn_sym5_3_0,3_Neigh,5,True,True,-3.28
Al1Au1_MgIn_sym6_38_0,3_Neigh,6,True,True,-3.277
Al1Au1_MgTl_sym51_8_0,3_Neigh,51,False,False,-3.276
Al1Au1_MgIn_sym26_48_0,3_Neigh,26,True,True,-3.273
Al1Au1_MgIn_sym187_52_0,3_Neigh,187,False,False,-3.273
Al1Au1_MgIn_sym26_35_0,3_Neigh,26,True,True,-3.272
Al1Au1_MgIn_sym6_41_0,3_Neigh,6,True,True,-3.271
Al1Au1_MgIn_sym11_34_0,3_Neigh,11,False,True,-3.27
Al1Au1_MgIn_sym6_39_0,3_Neigh,6,True,True,-3.265
Al1Au1_MgTl_sym62_5_0,3_Neigh,62,True,True,-3.264
Al1Au1_MgIn_sym8_10_0,3_Neigh,8,True,True,-3.264
Al1Au1_MgIn_sym38_15_0,3_Neigh,38,True,True,-3.26
Al1Au1_MgIn_sym38_1_0,3_Neigh,38,True,True,-3.26
Al1Au1_MgIn_sym38_6_0,3_Neigh,38,True,True,-3.259
Al1Au1_MgTl_sym59_4_0,3_Neigh,59,True,True,-3.256
Al1Au1_MgIn_sym187_26_0,3_Neigh,187,False,False,-3.256
Al1Au1_MgIn_sym38_20_0,3_Neigh,38,True,True,-3.255
Al1Au1_MgIn_sym187_12_0,3_Neigh,187,False,False,-3.255
Al1Au1_MgIn_sym59_47_0,3_Neigh,59,True,True,-3.254
Al1Au1_MgIn_sym25_50_0,3_Neigh,25,True,True,-3.251
Al1Au1_MgIn_sym38_0_0,3_Neigh,38,True,True,-3.249
Al1Au1_MgTl_sym221_0_0,3_Neigh,221,False,False,-3.247
Al1Au1_MgIn_sym187_42_0,3_Neigh,187,False,True,-3.246
Al1Au1_MgIn_sym59_36_0,3_Neigh,59,True,True,-3.245
Al1Au1_MgIn_sym11_49_0,3_Neigh,11,False,True,-3.243
Al1Au1_MgIn_sym8_11_0,3_Neigh,8,True,True,-3.241
Al1Au1_MgIn_sym8_25_0,3_Neigh,8,True,True,-3.241
Al1Au1_MgIn_sym8_18_0,3_Neigh,8,True,True,-3.241
Al1Au1_MgIn_sym57_33_0,3_Neigh,57,True,True,-3.241
Al1Au1_MgIn_sym8_4_0,3_Neigh,8,True,True,-3.24
Al1Au1_MgTl_sym59_3_0,3_Neigh,59,True,True,-3.232
Al1Au1_MgIn_sym38_14_0,3_Neigh,38,True,True,-3.231
Al1Au1_MgIn_sym38_21_0,3_Neigh,38,True,True,-3.229
Al1Au1_MgIn_sym38_7_0,3_Neigh,38,True,True,-3.229
Al1Au1_MgTl_sym51_6_0,3_Neigh,51,False,False,-3.223
Al1Au1_MgTl_sym187_9_0,3_Neigh,187,False,False,-3.215
Al1Au1_MgTl_sym166_2_0,3_Neigh,166,False,False,-3.213
Al1Au1_MgIn_sym59_44_0,3_Neigh,59,True,True,-3.207
Al1Au1_AlCu_sym191_8_0,2_Neigh,191,True,True,-3.207
Al1Au1_MgIn_sym156_8_0,3_Neigh,156,True,True,-3.197
Al1Au1_MgIn_sym156_22_0,3_Neigh,156,True,True,-3.195
Al1Au1_MgTl_sym221_1_0,3_Neigh,221,False,False,-3.192
Al1Au1_MgTl_sym187_7_0,3_Neigh,187,False,False,-3.181
Al1Au1_MgIn_sym164_13_0,3_Neigh,164,True,True,-3.177
Al1Au1_MgIn_sym164_27_0,3_Neigh,164,True,True,-3.17
Al1Au1_MgIn_sym187_16_0,3_Neigh,187,False,True,-3.125
Al1Au1_MgIn_sym187_2_0,3_Neigh,187,False,True,-3.123
