CIF_Name,Neigh_Order,sym,is_new_sym,Energy
Al1Au1_MgIn_sym38_14_0,3_Neigh,38,True,-3.231
Al1Au1_MgIn_sym38_21_0,3_Neigh,38,True,-3.229
Al1Au1_MgIn_sym38_7_0,3_Neigh,38,True,-3.229
Al1Au1_AlCu_sym191_8_0,2_Neigh,191,True,-3.207
Al1Au1_MgIn_sym59_44_0,3_Neigh,59,True,-3.207
Al1Au1_MgIn_sym156_8_0,3_Neigh,156,True,-3.197
Al1Au1_MgIn_sym156_22_0,3_Neigh,156,True,-3.195
Al1Au1_MgIn_sym164_13_0,3_Neigh,164,True,-3.177
Al1Au1_MgIn_sym164_27_0,3_Neigh,164,True,-3.17
Al1Au1_MgIn_sym187_16_0,3_Neigh,187,False,-3.125
Al1Au1_MgIn_sym187_2_0,3_Neigh,187,False,-3.123
