CIF_Name,Neigh_Order,sym,is_new_sym,is_new_struc
Al1Au1_MgGa_sym5_18_0,3_Neigh,5,True,True
Al1Au1_MgIn_sym5_3_0,3_Neigh,5,True,True
Al1Au1_MgHg_sym5_18_0,3_Neigh,5,True,True
Al1Au1_MgGa_sym88_0_0,3_Neigh,88,True,True
Al1Au1_MgIn_sym123_31_0,3_Neigh,123,False,False
Al1Au1_MgAl_sym123_0_0,3_Neigh,123,False,False
Al1Au1_MgHg_sym123_32_0,3_Neigh,123,False,False
Al1Au1_MgIn_sym123_30_0,3_Neigh,123,False,False
Al1Au1_MgGa_sym123_31_0,3_Neigh,123,False,False
Al1Au1_MgIn_sym123_32_0,3_Neigh,123,False,False
Al1Au1_MgGa_sym12_6_0,3_Neigh,12,False,True
Al1Au1_MgHg_sym12_20_0,3_Neigh,12,False,True
Al1Au1_MgGa_sym12_20_0,3_Neigh,12,False,True
Al1Au1_MgIn_sym12_5_0,3_Neigh,12,False,True
Al1Au1_MgHg_sym12_5_0,3_Neigh,12,False,True
Al1Au1_MgIn_sym12_19_0,3_Neigh,12,False,True
Al1Au1_MgHg_sym187_13_0,3_Neigh,187,False,False
Al1Au1_MgGa_sym187_43_0,3_Neigh,187,False,False
Al1Au1_MgGa_sym187_3_0,3_Neigh,187,False,True
Al1Au1_MgTl_sym187_7_0,3_Neigh,187,False,False
Al1Au1_MgIn_sym187_16_0,3_Neigh,187,False,True
Al1Au1_MgIn_sym187_12_0,3_Neigh,187,False,False
Al1Au1_MgIn_sym187_45_0,3_Neigh,187,False,False
Al1Au1_MgGa_sym187_17_0,3_Neigh,187,False,True
Al1Au1_MgGa_sym187_13_0,3_Neigh,187,False,False
Al1Au1_MgIn_sym187_52_0,3_Neigh,187,False,False
Al1Au1_MgIn_sym187_42_0,3_Neigh,187,False,True
Al1Au1_MgHg_sym187_54_0,3_Neigh,187,False,False
Al1Au1_MgHg_sym187_45_0,3_Neigh,187,False,False
Al1Au1_MgHg_sym187_28_0,3_Neigh,187,False,False
Al1Au1_MgIn_sym187_2_0,3_Neigh,187,False,True
Al1Au1_MgHg_sym187_42_0,3_Neigh,187,False,True
Al1Au1_MgTl_sym187_9_0,3_Neigh,187,False,False
Al1Au1_MgGa_sym187_27_0,3_Neigh,187,False,False
Al1Au1_MgIn_sym187_26_0,3_Neigh,187,False,False
Al1Au1_MgGa_sym187_40_0,3_Neigh,187,False,True
Al1Au1_MgHg_sym156_8_0,3_Neigh,156,True,True
Al1Au1_MgHg_sym156_23_0,3_Neigh,156,True,True
Al1Au1_MgIn_sym156_8_0,3_Neigh,156,True,True
Al1Au1_MgGa_sym156_23_0,3_Neigh,156,True,True
Al1Au1_MgGa_sym156_9_0,3_Neigh,156,True,True
Al1Au1_MgIn_sym156_22_0,3_Neigh,156,True,True
Al1Au1_MgTl_sym62_5_0,3_Neigh,62,True,True
Al1Au1_MgGa_sym62_41_0,3_Neigh,62,True,True
Al1Au1_MgHg_sym62_43_0,3_Neigh,62,True,True
Al1Au1_MgIn_sym62_43_0,3_Neigh,62,True,True
Al1Au1_MgIn_sym25_50_0,3_Neigh,25,True,True
Al1Au1_MgGa_sym25_48_0,3_Neigh,25,True,True
Al1Au1_MgHg_sym25_51_0,3_Neigh,25,True,True
Al1Au1_MgGa_sym26_46_0,3_Neigh,26,True,True
Al1Au1_MgIn_sym26_35_0,3_Neigh,26,True,True
Al1Au1_MgHg_sym26_48_0,3_Neigh,26,True,True
Al1Au1_MgHg_sym26_35_0,3_Neigh,26,True,True
Al1Au1_MgGa_sym26_34_0,3_Neigh,26,True,True
Al1Au1_MgIn_sym26_48_0,3_Neigh,26,True,True
Al1Au1_MgTl_sym63_11_0,3_Neigh,63,True,True
Al1Au1_MgIn_sym38_1_0,3_Neigh,38,True,True
Al1Au1_MgIn_sym38_20_0,3_Neigh,38,True,True
Al1Au1_MgIn_sym38_7_0,3_Neigh,38,True,True
Al1Au1_MgGa_sym38_22_0,3_Neigh,38,True,True
Al1Au1_MgIn_sym38_15_0,3_Neigh,38,True,True
Al1Au1_MgIn_sym38_21_0,3_Neigh,38,True,True
Al1Au1_MgHg_sym38_2_0,3_Neigh,38,True,True
Al1Au1_MgGa_sym38_15_0,3_Neigh,38,True,True
Al1Au1_MgHg_sym38_7_0,3_Neigh,38,True,True
Al1Au1_MgHg_sym38_21_0,3_Neigh,38,True,True
Al1Au1_MgIn_sym38_6_0,3_Neigh,38,True,True
Al1Au1_MgHg_sym38_16_0,3_Neigh,38,True,True
Al1Au1_MgGa_sym38_21_0,3_Neigh,38,True,True
Al1Au1_MgGa_sym38_1_0,3_Neigh,38,True,True
Al1Au1_MgGa_sym38_2_0,3_Neigh,38,True,True
Al1Au1_MgIn_sym38_14_0,3_Neigh,38,True,True
Al1Au1_MgGa_sym38_16_0,3_Neigh,38,True,True
Al1Au1_MgIn_sym38_0_0,3_Neigh,38,True,True
Al1Au1_MgGa_sym38_7_0,3_Neigh,38,True,True
Al1Au1_MgHg_sym38_17_0,3_Neigh,38,True,True
